Sexo;Edad;Causas (lista reducida);Total
Hombres;Menores de 1 año;Enfermedades infecciosas intestinales y parasitarias;2
Hombres;Menores de 1 año;Enfermedades infecciosas intestinales y parasitarias;1
Hombres;Menores de 1 año;Tuberculosis y sus efectos tardíos;0
Hombres;Menores de 1 año;Enfermedad meningocócica;0
Hombres;Menores de 1 año;Septicemia;0
Hombres;Menores de 1 año;Hepatitis vírica;0
Hombres;Menores de 1 año;SIDA;0
Hombres;Menores de 1 año;VIH+;0
Hombres;Menores de 1 año;Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;1
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Otros tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Otros tumores;0
Hombres;Menores de 1 año;Tumores malignos;0
Hombres;Menores de 1 año;Melanoma maligno de la piel;0
Hombres;Menores de 1 año;Otros tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores malignos;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores malignos;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Otros tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Otros tumores;0
Hombres;Menores de 1 año;Tumores;0
Hombres;Menores de 1 año;Tumores malignos;0
Hombres;Menores de 1 año;Leucemia;0
Hombres;Menores de 1 año;Tumores in situ;0
Hombres;Menores de 1 año;Tumores benignos;0
Hombres;Menores de 1 año;Síndrome mielodisplásico;0
Hombres;Menores de 1 año;Otros tumores;0
Hombres;Menores de 1 año;Enfermedades de la sangre y de los órganos hematopoyéticos;3
Hombres;Menores de 1 año;Enfermedades de la sangre y de los órganos hematopoyéticos;2
Hombres;Menores de 1 año;Ciertos trastornos que afectan al mecanismo de la inmunidad;1
Hombres;Menores de 1 año;Enfermedades endocrinas, nutricionales y metabólicas;1
Hombres;Menores de 1 año;Diabetes mellitus;0
Hombres;Menores de 1 año;Otras enfermedades;1
Hombres;Menores de 1 año;Trastornos mentales y del comportamiento;0
Hombres;Menores de 1 año;Trastornos mentales y del comportamiento;0
Hombres;Menores de 1 año;Trastornos mentales y del comportamiento;0
Hombres;Menores de 1 año;Trastornos mentales y del comportamiento;0
Hombres;Menores de 1 año;Trastornos mentales y del comportamiento;0
Hombres;Menores de 1 año;Enfermedades del sistema nervioso y de los órganos de los sentidos;3
Hombres;Menores de 1 año;Meningitis;1
Hombres;Menores de 1 año;Alzheimer;0
Hombres;Menores de 1 año;Otras enfermedades;2
Hombres;Menores de 1 año;Enfermedades del sistema circulatorio;2
Hombres;Menores de 1 año;Enfermedades cardíacas reumáticas crónicas;0
Hombres;Menores de 1 año;Enfermedades hipertensivas;0
Hombres;Menores de 1 año;Infarto agudo de miocardio;0
Hombres;Menores de 1 año;Otras enfermedades;0
Hombres;Menores de 1 año;Insuficiencia cardíaca;0
Hombres;Menores de 1 año;Otras enfermedades;2
Hombres;Menores de 1 año;Enfermedades cerebrovasculares;0
Hombres;Menores de 1 año;Aterosclerosis;0
Hombres;Menores de 1 año;Otras enfermedades;0
Hombres;Menores de 1 año;Enfermedades del sistema respiratorio;2
Hombres;Menores de 1 año;Influenza (gripe);0
Hombres;Menores de 1 año;Neumonía;0
Hombres;Menores de 1 año;Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);0
Hombres;Menores de 1 año;Asma;0
Hombres;Menores de 1 año;Insuficiencia respiratoria;1
Hombres;Menores de 1 año;Otras enfermedades;1
Hombres;Menores de 1 año;Enfermedades del sistema digestivo;1
Hombres;Menores de 1 año;Úlcera de estómago, duodeno y yeyuno;0
Hombres;Menores de 1 año;Enteritis y colitis no infecciosas;0
Hombres;Menores de 1 año;Enfermedad vascular intestinal;1
Hombres;Menores de 1 año;Cirrosis y otras enfermedades crónicas del hígado;0
Hombres;Menores de 1 año;Otras enfermedades;0
Hombres;Menores de 1 año;Enfermedades de la piel y del tejido subcutáneo;0
Hombres;Menores de 1 año;Enfermedades del sistema osteomuscular y del tejido conjuntivo;1
Hombres;Menores de 1 año;Artritis reumatoide y osteoartrosis;0
Hombres;Menores de 1 año;Osteoporosis y fractura patológica;0
Hombres;Menores de 1 año;Otras enfermedades;1
Hombres;Menores de 1 año;Enfermedades del sistema genitourinario;0
Hombres;Menores de 1 año;Enfermedades del riñón y del uréter;0
Hombres;Menores de 1 año;Enfermedades de los genitales;0
Hombres;Menores de 1 año;Enfermedades de los genitales;0
Hombres;Menores de 1 año;Otras enfermedades;0
Hombres;Menores de 1 año;Embarazo, parto y puerperio;0
Hombres;Menores de 1 año;Afecciones originadas en el periodo perinatal;52
Hombres;Menores de 1 año;Malformaciones congénitas, deformidades y anomalías cromosómicas;16
Hombres;Menores de 1 año;Malformaciones congénitas, deformidades y anomalías cromosómicas;1
Hombres;Menores de 1 año;Malformaciones congénitas, deformidades y anomalías cromosómicas;6
Hombres;Menores de 1 año;Malformaciones congénitas, deformidades y anomalías cromosómicas;9
Hombres;Menores de 1 año;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;9
Hombres;Menores de 1 año;Paro cardíaco, muerte sin asistencia y otra causa desconocida de mortalidad;3
Hombres;Menores de 1 año;Senilidad;0
Hombres;Menores de 1 año;Muerte súbita infantil;6
Hombres;Menores de 1 año;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;0
Hombres;Menores de 1 año;Causas externas de mortalidad;1
Hombres;Menores de 1 año;Accidentes de tráfico;0
Hombres;Menores de 1 año;Otros accidentes;0
Hombres;Menores de 1 año;Caídas accidentales;0
Hombres;Menores de 1 año;Ahogamiento, sumersión y sofocación accidentales;1
Hombres;Menores de 1 año;Accidentes por fuego, humo y sustancias calientes;0
Hombres;Menores de 1 año;Envenenamiento accidental por psicofármacos y drogas de abuso;0
Hombres;Menores de 1 año;Otros envenenamientos accidentales;0
Hombres;Menores de 1 año;Otros accidentes;0
Hombres;Menores de 1 año;Suicidio y lesiones autoinfligidas;0
Hombres;Menores de 1 año;Agresiones (Homicidio);0
Hombres;Menores de 1 año;Eventos de intención no determinada;0
Hombres;Menores de 1 año;Complicaciones de la atención médica y quirúrgica;0
Hombres;Menores de 1 año;Otras causas externas y sus efectos tardíos;0
Hombres;De 1 a 14 años;Enfermedades infecciosas intestinales y parasitarias;1
Hombres;De 1 a 14 años;Enfermedades infecciosas intestinales y parasitarias;0
Hombres;De 1 a 14 años;Tuberculosis y sus efectos tardíos;0
Hombres;De 1 a 14 años;Enfermedad meningocócica;0
Hombres;De 1 a 14 años;Septicemia;1
Hombres;De 1 a 14 años;Hepatitis vírica;0
Hombres;De 1 a 14 años;SIDA;0
Hombres;De 1 a 14 años;VIH+;0
Hombres;De 1 a 14 años;Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;0
Hombres;De 1 a 14 años;Tumores;13
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Otros tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Otros tumores;0
Hombres;De 1 a 14 años;Tumores malignos;1
Hombres;De 1 a 14 años;Melanoma maligno de la piel;0
Hombres;De 1 a 14 años;Otros tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores malignos;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores malignos;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Otros tumores;0
Hombres;De 1 a 14 años;Tumores;6
Hombres;De 1 a 14 años;Otros tumores;4
Hombres;De 1 a 14 años;Tumores;0
Hombres;De 1 a 14 años;Tumores malignos;0
Hombres;De 1 a 14 años;Leucemia;1
Hombres;De 1 a 14 años;Tumores in situ;0
Hombres;De 1 a 14 años;Tumores benignos;0
Hombres;De 1 a 14 años;Síndrome mielodisplásico;0
Hombres;De 1 a 14 años;Otros tumores;1
Hombres;De 1 a 14 años;Enfermedades de la sangre y de los órganos hematopoyéticos;2
Hombres;De 1 a 14 años;Enfermedades de la sangre y de los órganos hematopoyéticos;2
Hombres;De 1 a 14 años;Ciertos trastornos que afectan al mecanismo de la inmunidad;0
Hombres;De 1 a 14 años;Enfermedades endocrinas, nutricionales y metabólicas;3
Hombres;De 1 a 14 años;Diabetes mellitus;0
Hombres;De 1 a 14 años;Otras enfermedades;3
Hombres;De 1 a 14 años;Trastornos mentales y del comportamiento;0
Hombres;De 1 a 14 años;Trastornos mentales y del comportamiento;0
Hombres;De 1 a 14 años;Trastornos mentales y del comportamiento;0
Hombres;De 1 a 14 años;Trastornos mentales y del comportamiento;0
Hombres;De 1 a 14 años;Trastornos mentales y del comportamiento;0
Hombres;De 1 a 14 años;Enfermedades del sistema nervioso y de los órganos de los sentidos;7
Hombres;De 1 a 14 años;Meningitis;0
Hombres;De 1 a 14 años;Alzheimer;0
Hombres;De 1 a 14 años;Otras enfermedades;7
Hombres;De 1 a 14 años;Enfermedades del sistema circulatorio;0
Hombres;De 1 a 14 años;Enfermedades cardíacas reumáticas crónicas;0
Hombres;De 1 a 14 años;Enfermedades hipertensivas;0
